Key,ACADEMIC_PERIOD,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,COURSE_TITLE_SHORT,CREDITS_EARNED,CREDITS_FOR_GPA,FINAL_GRADE,REPEAT_COURSE_IND,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,GRADABLE_IND,Most_Recent_Prior_Term,Most_Recent_Prior_Term_GPA
049362,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.53846154
049389,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.96428571
049396,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,4
049427,202020,PWL,PHYS22000,001,25707,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,202010,2.76521739
049433,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,3.07647059
049435,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,3.06428571
049462,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.04285714
049479,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,C+,,RW,**Web Registered**,Y,201910,3.02666667
049590,201920,PWL,PHYS22000,001,25707,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201910,3.68125
049593,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.25
049616,202020,PWL,PHYS22000,002,25708,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,202010,3.39318182
049618,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.88035714
049620,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,1.84666667
049622,202020,PWL,PHYS17200,133,11269,Modern Mechanics,0,0,N,,RE,**Registered**,Y,202010,2.248
049625,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,B,,RW,**Web Registered**,Y,201930,3.4
