Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
045956,SAT2ACT,620,570,1190,21,21,,20
045960,SAT2ACT,650,620,1260,25,27,,26
045961,SAT2ACT,640,630,1270,29,35,,28
045967,SAT2ACT,,,,26,24,,27
045969,SAT2ACT,580,530,1110,,,,
045991,SAT2ACT,,,,30,31,,35
046000,SAT2ACT,,,,22,19,,25
046014,SAT2ACT,630,630,1260,28,22,,28
046142,SAT2ACT,,,,29,30,,29
046143,SAT2ACT,660,690,1350,31,28,,31
046150,SAT2ACT,600,680,1280,25,23,,26
046156,SAT2ACT,,,,31,32,,32
046167,SAT2ACT,690,700,1390,,,,
046168,SAT2ACT,610,610,1220,25,24,,26
046169,SAT2ACT,570,550,1120,,,,
046175,SAT2ACT,650,730,1380,25,27,,27
046191,SAT2ACT,,,,30,26,,34
046193,,,,,,,,
046204,SAT2ACT,680,650,1330,27,32,,27
046224,SAT2ACT,520,610,1130,,,,
046232,SAT2ACT,580,550,1130,,,,
046236,SAT2ACT,,,,31,33,,29
046254,SAT2ACT,620,660,1230,28,25,,27
046259,SAT2ACT,580,540,1120,27,35,,27
046261,SAT2ACT,620,700,1270,,,,
046280,SAT2ACT,530,550,1080,23,20,,26
046281,SAT2ACT,620,680,1300,,,,
046283,SAT2ACT,550,540,1090,,,,
046288,SAT2ACT,,,,31,31,,29
046300,SAT2ACT,,,,24,24,,25
046309,SAT2ACT,630,720,1350,28,23,,29
046517,SAT2ACT,690,680,1360,,,,
046547,SAT2ACT,590,620,1210,,,,
046556,SAT2ACT,640,680,1320,,,,
046583,SAT2ACT,720,650,1370,26,27,,27
046597,SAT2ACT,650,630,1280,,,,
046598,SAT2ACT,630,690,1320,26,23,,32
046610,SAT2ACT,560,710,1270,,,,
046614,SAT2ACT,680,570,1250,,,,
046658,SAT2ACT,700,760,1460,34,35,,35
046666,SAT2ACT,650,620,1270,27,31,,26
046693,SAT2ACT,590,610,1200,,,,
046703,SAT2ACT,630,700,1290,26,25,,29
046776,SAT2ACT,640,610,1230,,,,
046796,SAT2ACT,520,580,1100,,,,
046809,SAT2ACT,570,650,1220,,,,
046866,SAT2ACT,700,640,1340,,,,
046873,SAT2ACT,580,520,1090,21,24,,18
046880,SAT2ACT,610,690,1300,,,,
046881,SAT2ACT,680,780,1460,31,31,,32
046884,SAT2ACT,630,680,1310,,,,
046889,SAT2ACT,,,,28,29,,30
046897,SAT2ACT,680,650,1330,29,28,,29
046913,SAT2ACT,480,520,1000,20,20,,20
046915,SAT2ACT,,,,35,36,,34
047054,SAT2ACT,730,760,1490,34,35,,34
047057,SAT2ACT,720,670,1390,,,,
047072,SAT2ACT,650,770,1420,,,,
047075,SAT2ACT,,,,24,25,,24
047077,SAT2ACT,620,730,1350,32,29,,36
047096,SAT2ACT,610,610,1220,23,25,,24
047101,SAT2ACT,620,620,1240,25,23,,26
047119,SAT2ACT,690,710,1400,,,,
047123,SAT2ACT,,,,27,24,,28
047126,SAT2ACT,520,640,1160,,,,
047130,SAT2ACT,630,610,1240,,,,
047158,SAT2ACT,780,770,1550,,,,
047159,SAT2ACT,580,600,1170,23,24,,25
047167,SAT2ACT,690,690,1380,29,28,,29
047193,SAT2ACT,530,550,1080,17,17,,21
047280,SAT2ACT,740,750,1490,,,,
047285,SAT2ACT,650,680,1330,25,26,,26
047305,SAT2ACT,520,590,1100,,,,
047312,SAT2ACT,740,740,1450,33,33,,32
047367,SAT2ACT,,,,31,28,,31
