Key,CONFIDENTIALITY_IND,GENDER,GENDER_DESC,REPORTING_ETHNICITY_CODE,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE,ADMISSIONS_ATTRIBUTE_DESC,RESIDENCY,RESIDENCY_DESC,ADDRESS_RULE,COUNTY,COUNTY_DESC,STATE_PROVINCE,STATE_PROVINCE_DESC,NATION,NATION_DESC
045834,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
045874,N,F,Female,D,Asian,N,,,N,Non-Resident,PERMADDR,24031,Montgomery,MD,Maryland,,
045886,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
045893,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
045905,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,26081,Kent,MI,Michigan,,
045931,N,F,Female,X,2 or more races,Y,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
045934,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,17111,McHenry,IL,Illinois,,
045951,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18031,Decatur,IN,Indiana,,
045953,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
045956,N,M,Male,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
045960,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045961,N,M,Male,X,2 or more races,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045967,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
045969,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,39041,Delaware,OH,Ohio,,
045991,N,M,Male,X,2 or more races,N,,,N,Non-Resident,PERMADDR,29189,Saint Louis,MO,Missouri,,
046000,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18039,Elkhart,IN,Indiana,,
046014,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
046142,N,M,Male,Y,Hispanic/Latino,Y,,,N,Non-Resident,PERMADDR,34003,Bergen,NJ,New Jersey,US,United States
046143,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18173,Warrick,IN,Indiana,,
046150,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046156,N,M,Male,X,2 or more races,N,,,N,Non-Resident,PERMADDR,27053,Hennepin,MN,Minnesota,,
046167,N,M,Male,Y,Hispanic/Latino,Y,,,N,Non-Resident,PERMADDR,12011,Broward,FL,Florida,,
