PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
087009,202030,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
087147,,,,,,,
087393,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
087684,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
087684,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
091388,,,,,,,
092005,202110,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
092005,202110,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
092005,202110,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
092005,202110,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
095984,,,,,,,
096799,,,,,,,
096884,,,,,,,
097051,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
097941,,,,,,,
098087,,,,,,,
099933,,,,,,,
100523,,,,,,,
101373,,,,,,,
102833,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
102833,201830,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus BC,Y,3
103145,,,,,,,
103542,,,,,,,
103731,,,,,,,
105237,201830,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
105237,201830,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
105370,,,,,,,
108107,,,,,,,
110121,,,,,,,
112429,,,,,,,
116666,,,,,,,
117085,,,,,,,
117153,,,,,,,
117770,,,,,,,
118482,,,,,,,
119581,,,,,,,
119761,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
119761,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (E & M),Y,3
119761,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
119761,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
120697,,,,,,,
121313,,,,,,,
121380,,,,,,,
121918,,,,,,,
122128,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
122128,202130,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
122128,202130,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
122494,202010,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
122494,202010,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
122532,,,,,,,
122577,,,,,,,
122612,,,,,,,
122696,,,,,,,
122831,202030,99ADPL,Advance Placement - CEEB,MA15555,Quantitative Reasoning,Y,3
122834,,,,,,,
122881,202030,99ADPL,Advance Placement - CEEB,MA15555,Quantitative Reasoning,Y,3
122890,,,,,,,
122962,,,,,,,
122983,,,,,,,
122990,,,,,,,
123037,202110,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
123037,202110,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,0
123037,202110,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
123088,,,,,,,
123106,202010,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
123106,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
123106,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
123110,,,,,,,
123111,,,,,,,
123119,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
123119,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
123119,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics II,Y,4
123448,,,,,,,
123512,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
123512,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
123741,,,,,,,
123905,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
123973,,,,,,,
124192,,,,,,,
124240,,,,,,,
124243,,,,,,,
124256,,,,,,,
124500,,,,,,,
124505,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
124505,202030,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
124529,,,,,,,
124606,,,,,,,
124651,,,,,,,
125106,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
125210,,,,,,,
125535,,,,,,,
125617,,,,,,,
125882,,,,,,,
126143,,,,,,,
126200,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
126206,,,,,,,
126426,202030,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,0
126872,,,,,,,
127052,,,,,,,
127193,,,,,,,
127258,,,,,,,
127439,,,,,,,
127441,202030,99ADPL,Advance Placement - CEEB,MA15555,Quantitative Reasoning,Y,3
127441,202030,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
127979,,,,,,,
127990,,,,,,,
128166,,,,,,,
128193,,,,,,,
128424,,,,,,,
128629,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
128645,,,,,,,
128667,,,,,,,
128749,,,,,,,
129279,,,,,,,
129413,,,,,,,
129690,202130,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
129700,,,,,,,
129703,,,,,,,
131077,,,,,,,
131210,,,,,,,
131381,,,,,,,
131384,,,,,,,
131460,,,,,,,
131539,,,,,,,
131553,,,,,,,
131648,,,,,,,
131652,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
131673,,,,,,,
131689,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
131755,,,,,,,
131803,,,,,,,
131922,,,,,,,
131923,,,,,,,
131967,,,,,,,
132076,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
