PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
079224,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.2
079597,202210,Fall 2021,PHYS22000,10333,,,,
080591,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.675
080711,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.75625
082630,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.7
083468,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,4
085542,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.61666667
087009,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,4
087147,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.35454546
087393,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.8
087684,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.80588235
091388,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.76923077
092005,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.4
095984,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.7375
096799,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.825
096884,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,1.56666667
097051,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,0
097941,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.62307692
098087,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.64705882
099933,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.825
100523,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.8
101373,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.65
102833,202210,Fall 2021,PHYS22000,27017,202110,Fall 2020,Undergraduate,0.6
103145,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.92307692
103542,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.17222222
103731,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.88
105237,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
105370,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.8
108107,202120,Spring 2021,PHYS22000,25708,,,Undergraduate,1.79285714
110121,202210,Fall 2021,PHYS17200,37253,,,,
112429,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,4
116666,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,3.71176471
116666,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3.71176471
117085,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.4
117153,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.08333333
117770,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.67058824
118482,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.04
119581,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.51538462
119761,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,4
120697,202210,Fall 2021,PHYS22000,10333,,,,
121313,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
121380,202210,Fall 2021,PHYS22000,10333,,,,
121918,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.48
122128,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,4
122494,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
122532,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.22857143
122577,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.91538462
122577,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,2.91538462
122612,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.53571429
122696,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,2.45
122831,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
122834,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,4
122881,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.44666667
122890,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.82
122962,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.18
122983,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,4
122990,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.42
123037,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3
123088,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.13125
123106,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.58823529
123110,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.37692308
123111,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.90666667
123119,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.33333333
123448,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,3.11333333
123512,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.56666667
123741,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3
123905,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.11333333
123973,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.50625
124192,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,4
124240,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.05
124243,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.71428571
124256,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.88333333
124500,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.79375
124505,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.675
124529,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,2.25714286
124606,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.925
124651,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.08
125106,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.56666667
125210,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,2.46666667
125535,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.54666667
125617,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.3
125617,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.075
125882,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.8125
126143,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,0.5
126200,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,0.8125
126426,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.33333333
126872,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.975
127052,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.03
127052,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,0.3631579
127193,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.90769231
127258,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.43333333
127439,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.02
127441,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,3.27333333
127979,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,1.8
127990,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,2.6
128166,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.38235294
128193,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,0.76923077
128424,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,1.95714286
128629,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.825
128645,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.58125
128667,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.7
