PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
148192,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.7
148429,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
148442,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.38461539
148503,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.825
148519,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.86666667
148618,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.9
148734,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.8
149096,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3
149117,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,2.9
149126,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.64117647
149134,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.73571429
149192,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,1.075
149417,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.28666667
149534,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.7
149633,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.47058824
149837,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.71428571
149887,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.28571429
150094,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.06
150229,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.4
150249,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.1
150283,202210,Fall 2021,PHYS22000,23960,202110,Fall 2020,Undergraduate,3.1
150285,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.76470588
150437,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.63636364
150468,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.56428571
150511,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.87333333
150524,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
150570,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.94
150632,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.28125
150633,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.05882353
150672,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.08888889
150679,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,2.53846154
150699,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.66
150981,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,1.16666667
150983,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.8
151014,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.94375
151114,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.75
151192,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.85
151209,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.46666667
151374,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,3.55625
151447,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3
151477,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,3.61875
151517,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.00625
151555,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.71428571
151559,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.42857143
151575,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.65454546
151602,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.78571429
151637,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.76470588
151651,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.94
151708,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.9375
151717,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.62307692
151782,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.91428571
151783,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,1.825
151828,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.40666667
151852,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,1
151892,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.825
151895,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.20909091
152201,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.625
152702,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.63
152724,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.3875
152747,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.86
152965,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.58823529
153010,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.43888889
153025,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.93076923
153127,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.59333333
153494,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.92307692
153638,202120,Spring 2021,PHYS17200,28591,,,Undergraduate,0.99333333
153701,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
153849,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,4
153885,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.93076923
153952,202210,Fall 2021,PHYS22000,27016,202110,Fall 2020,Undergraduate,2.43
153984,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.38666667
153999,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,2.5
154161,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.50625
154257,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.26666667
154511,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.28
154527,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.32666667
154676,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.87142857
154684,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.5875
154684,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.5875
154733,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.10666667
154927,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.87647059
154966,202210,Fall 2021,PHYS17200,37253,202110,Fall 2020,Undergraduate,2.23333333
155035,202210,Fall 2021,PHYS22000,10333,202110,Fall 2020,Undergraduate,2.16923077
155043,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.46
155258,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.9
155427,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.8
155432,202210,Fall 2021,PHYS17200,26931,,,,
156165,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,2
156177,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.14285714
156182,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.96153846
156221,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.04444444
156302,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.8125
156423,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.38
156755,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.73333333
156762,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.33333333
156784,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.58333333
156938,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.25
156944,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.70625
157247,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.56428571
157275,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
157287,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3
157353,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,1.99
157359,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,0.43333333
157489,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.22142857
157526,202210,Fall 2021,PHYS22000,10333,,,,
157627,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.64117647
157995,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.425
158031,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
158048,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.66111111
158283,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,2.11428571
158382,202210,Fall 2021,PHYS17200,37253,202110,Fall 2020,Undergraduate,1.12857143
158444,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,3.625
158585,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.1
158592,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
158608,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.11764706
158618,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,3.94
158619,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.80588235
158733,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.32857143
158846,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.18823529
158877,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.69375
158878,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.33333333
158900,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.225
159504,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
159556,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.24615385
159813,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.71428571
159834,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.76470588
159851,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.94705882
159870,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.425
160016,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.64285714
160177,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.94
160530,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3
160683,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.60714286
160719,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.86875
160796,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.80666667
161140,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.71428571
161173,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.21666667
161338,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.62857143
161668,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.18
161674,202210,Fall 2021,PHYS22000,10333,,,,
161833,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.46
161905,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.7
162111,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,2.55
162120,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
162432,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
162432,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
162514,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.44705882
162542,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.27857143
162584,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.25294118
162875,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.94
162882,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.175
162887,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,4
162989,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,4
163009,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
163092,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.19375
163113,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.68
163380,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.69411765
163404,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.98823529
163686,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.325
163688,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.88333333
163944,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.84285714
164044,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,4
164073,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.59411765
164194,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.38
164259,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.56666667
164439,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.15384615
164622,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.88888889
164818,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.21764706
164847,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.38666667
164882,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.51875
165133,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
165306,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,4
165315,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,0.675
165323,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.6875
165344,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.03
165462,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,0.9
165611,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.10588235
165759,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.40588235
166025,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.93333333
166146,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.92307692
166153,202210,Fall 2021,PHYS17200,37253,202110,Fall 2020,Undergraduate,0.57142857
166165,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,1.55454546
166295,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.77857143
166298,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3
166326,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.64705882
166651,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,1.92857143
166665,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,2.65714286
166686,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.60625
167511,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.42857143
167746,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.93076923
167775,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.175
167802,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.75294118
167815,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.8
167845,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.3
167884,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.03333333
167971,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.1
168015,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.83529412
168086,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.43125
168197,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.45714286
168241,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.69411765
168469,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.64
168530,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.54
168535,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.33333333
168659,202210,Fall 2021,PHYS22000,10333,202110,Fall 2020,Undergraduate,2.35714286
168997,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,2.69166667
169438,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.74
169459,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.8125
169695,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.93333333
169770,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.28571429
169772,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.87333333
169773,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.7
169959,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.45294118
170107,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.58
170137,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.925
170251,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.1
170270,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.54285714
170298,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,4
170310,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.20666667
170684,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
170761,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.825
170876,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.61764706
171127,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.45294118
171527,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.91538462
171547,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.56666667
171811,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.16666667
172018,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.75
172272,202210,Fall 2021,PHYS22000,23960,202110,Fall 2020,Undergraduate,1.81428571
172446,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,2.56428571
172647,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,2.94
172813,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.35
173361,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,4
173730,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.34
176463,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,2.72
178020,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.7
178945,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.53846154
179195,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,1.84615385
179263,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.11
179713,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.62307692
180246,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,1.825
180302,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
180429,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.86
181526,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.25
181994,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,3.75
182928,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,2.56
183171,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.64375
183261,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.39230769
183849,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.1
183856,202210,Fall 2021,PHYS17200,21307,,,,
183905,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.85
188057,202120,Spring 2021,PHYS17200,26669,,,,
188057,202210,Fall 2021,PHYS17200,37253,,,,
188201,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.175
188495,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.63571429
189107,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,4
189173,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.66666667
189325,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.86428571
189771,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,4
189844,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,0
189873,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.09
190174,202120,Spring 2021,PHYS17200,28591,,,Undergraduate,0.325
190216,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,1.7
190295,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.94375
190409,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.725
190461,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,3.425
190765,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.2
190805,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.50714286
191125,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.42
191278,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.87272727
191385,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.78235294
192185,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.56428571
192387,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.7
193249,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.87647059
193619,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.18666667
194058,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.94
194277,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,0
194441,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.75
194526,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,1.33333333
194876,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.3625
194947,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,3.92
194948,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.64705882
195030,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,1.09090909
195264,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.51
195324,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.66666667
195593,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.46
196028,202210,Fall 2021,PHYS17200,21307,,,,
196134,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.25882353
196284,202120,Spring 2021,PHYS17200,26669,202110,Fall 2020,Undergraduate,3.41666667
196481,202210,Fall 2021,PHYS22000,27017,,,,
196753,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.8
197761,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.2
198048,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,0.35
198245,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
199902,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.27857143
199953,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
200654,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.09411765
200691,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,1.46153846
200787,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,1.76923077
200815,202120,Spring 2021,PHYS17200,26668,202110,Fall 2020,Undergraduate,3.6
200833,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.1
200925,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.00833333
201353,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,3.625
201697,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,4
202138,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.17857143
202823,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,2.58
203629,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.54
204277,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.9
204644,202120,Spring 2021,PHYS22000,25708,,,Undergraduate,4
204958,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.50714286
205578,202210,Fall 2021,PHYS17200,37254,202120,Spring 2021,Undergraduate,4
206512,202210,Fall 2021,PHYS22000,27016,,,,
206943,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.30625
207622,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.53529412
208372,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,4
209804,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.7
210519,202210,Fall 2021,PHYS17200,26979,,,,
